mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
Unknown_Mutation,ERK (MAPK),3,184906,1672008,365375,4092599,15,0.11058918378380965,0.0892770095482113,1.2387196249454275
Unknown_Mutation,ERK (MAPK),4,176326,1664096,373955,4100511,20,0.1059590312097379,0.09119717030389628,1.1618675322562169
Unknown_Mutation,ERK (MAPK),5,169398,1656185,380883,4108422,25,0.10228205182392064,0.09270785717728121,1.1032727423343538
Unknown_Mutation,ERK (MAPK),6,164358,1648090,385923,4116517,30,0.09972634989594015,0.09374988612946333,1.063749024273199
Unknown_Mutation,ERK (MAPK),7,160905,1640259,389376,4124348,35,0.09809731268049741,0.0944091041784059,1.0390662376704887
Unknown_Mutation,ERK (MAPK),8,158504,1632592,391777,4132015,40,0.09708733106618188,0.0948149994615218,1.0239659507205106
Unknown_Mutation,ERK (MAPK),9,156949,1624767,393332,4139840,45,0.09659785064566181,0.09501140140681766,1.01669746172937
Unknown_Mutation,ERK (MAPK),10,155964,1616769,394317,4147838,50,0.09646647109141751,0.09506567035646041,1.014735085017595
Unknown_Mutation,ERK (MAPK),11,155762,1608653,394519,4155954,55,0.0968275942667561,0.09492862529277273,1.0200041764865624
Unknown_Mutation,ERK (MAPK),12,155783,1600795,394498,4163812,60,0.09731602110201494,0.09474443130477553,1.0271423846428196
Unknown_Mutation,ERK (MAPK),13,155667,1592964,394614,4171643,65,0.09772160576133547,0.09459438403525901,1.0330592746913054
Unknown_Mutation,ERK (MAPK),14,155891,1584845,394390,4179762,70,0.09836356236729775,0.09435704712373576,1.042461219015343
Unknown_Mutation,ERK (MAPK),15,155616,1576651,394665,4187956,75,0.09870034649392923,0.09423809610225131,1.0473508122111914
Unknown_Mutation,ERK (MAPK),16,155066,1568956,395215,4195651,80,0.09883387424503938,0.09419634759897809,1.0492325526866988
Unknown_Mutation,ERK (MAPK),17,154504,1561173,395777,4203434,85,0.09896661036284896,0.09415563560650649,1.0510959830004059
Unknown_Mutation,ERK (MAPK),18,153536,1553311,396745,4211296,90,0.09884433960745788,0.09420971596392179,1.0491947523258742
Unknown_Mutation,ERK (MAPK),19,152660,1545518,397621,4219089,95,0.09877594437593092,0.0942433307285056,1.0480947947444978
Unknown_Mutation,ERK (MAPK),20,151966,1537589,398315,4227018,100,0.09883395367682782,0.0942307319249646,1.048850535890231
Unknown_Mutation,ERK (MAPK),21,151015,1529600,399266,4235007,105,0.09872842573221757,0.09427753011978493,1.0472105665769726
Unknown_Mutation,ERK (MAPK),22,149777,1521627,400504,4242980,110,0.09843213875673867,0.09439214891420653,1.0428000621768247
Unknown_Mutation,ERK (MAPK),23,148543,1513853,401738,4250754,115,0.09812247292174339,0.09450982108115408,1.0382251473895734
Unknown_Mutation,ERK (MAPK),24,147655,1505944,402626,4258663,120,0.09804813459199015,0.09454281778107354,1.0370765002904148
Unknown_Mutation,ERK (MAPK),25,146990,1498108,403291,4266499,125,0.09811709169165374,0.09452504266378593,1.0380010304850567
