mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
AKT1_E17K,ERK (MAPK),9,599385,4106227,495378,4691772,45,0.1459697673801278,0.10558441458792116,1.382493504839934
AKT1_E17K,ERK (MAPK),10,595434,4085463,499329,4712536,50,0.1457445582055204,0.1059575990507022,1.375498874184376
AKT1_E17K,ERK (MAPK),11,591582,4064550,503181,4733449,55,0.1455467394914566,0.10630324737839153,1.3691655060487096
AKT1_E17K,ERK (MAPK),12,587740,4043900,507023,4754099,60,0.14533989465614877,0.10664965117470208,1.362778903215243
AKT1_E17K,ERK (MAPK),13,584083,4023343,510680,4774656,65,0.14517355343553856,0.10695639643986918,1.3573153010736954
AKT1_E17K,ERK (MAPK),14,580375,4002790,514388,4795209,70,0.1449926176491897,0.10727123676986759,1.3516448771840581
AKT1_E17K,ERK (MAPK),15,576630,3983010,518133,4814989,75,0.14477242085759262,0.10760834552270006,1.3453642480457315
AKT1_E17K,ERK (MAPK),16,573213,3962877,521550,4835122,80,0.14464567030468017,0.10786697833063985,1.3409634027320598
AKT1_E17K,ERK (MAPK),17,569854,3943034,524909,4854965,85,0.14452170587420754,0.10811797819345763,1.33670374057136
AKT1_E17K,ERK (MAPK),18,566847,3923166,527916,4874833,90,0.14448713105690658,0.10829417130802224,1.3342096745534007
AKT1_E17K,ERK (MAPK),19,563756,3903376,531007,4894623,95,0.14442779788572763,0.10848782429208542,1.3312811721330111
AKT1_E17K,ERK (MAPK),20,560937,3883669,533826,4914330,100,0.14443481151457552,0.10862640482018912,1.3296473518907357
AKT1_E17K,ERK (MAPK),21,557382,3863228,537381,4934771,105,0.14427882589378624,0.10889684647980626,1.3249128010381934
AKT1_E17K,ERK (MAPK),22,554718,3843084,540045,4954915,110,0.14434188792126323,0.10899177887007143,1.3243373896423187
AKT1_E17K,ERK (MAPK),23,551679,3823796,543084,4974203,115,0.14427521761098133,0.10918010382768857,1.3214423924589864
AKT1_E17K,ERK (MAPK),24,548355,3803756,546408,4994243,120,0.14416145515117162,0.10940757187826063,1.3176551921980513
AKT1_E17K,ERK (MAPK),25,544788,3784016,549975,5013983,125,0.1439708500175475,0.10968824585165127,1.3125458329624673
AKT1_E17K,ERK (MAPK),26,541616,3764447,553147,5033552,130,0.14387664376733156,0.1098919808516928,1.3092551672310242
AKT1_E17K,ERK (MAPK),27,539187,3745142,555576,5052857,135,0.1439697079576689,0.10995284449965634,1.3093768388876823
AKT1_E17K,ERK (MAPK),28,535793,3726092,558970,5071907,140,0.1437948928797249,0.11020903971622507,1.304746808882278
AKT1_E17K,ERK (MAPK),29,532838,3707205,561925,5090794,145,0.14373038448103087,0.11038062039045382,1.302134233098234
AKT1_E17K,ERK (MAPK),30,529307,3687763,565456,5110236,150,0.14353064445844269,0.11065164113751302,1.297139771113463
PIK3CA_E545K,AKT (PI3K),0,603281,3838691,495011,4604514,0,0.15715799995363003,0.10750559125241013,1.4618588495982692
PIK3CA_E545K,AKT (PI3K),1,594020,3814113,504272,4629092,5,0.15574263269074617,0.10893540245041576,1.429678774644778
PIK3CA_E545K,AKT (PI3K),2,584652,3789593,513640,4653612,10,0.1542783090426861,0.11037447900684458,1.397771572114229
PIK3CA_E545K,AKT (PI3K),3,576865,3765815,521427,4677390,15,0.15318463599512988,0.11147819617350702,1.3741219471896557
PIK3CA_E545K,AKT (PI3K),4,569273,3742154,529019,4701051,20,0.15212441818268302,0.11253206995627148,1.3518316888847475
PIK3CA_E545K,AKT (PI3K),5,561878,3718416,536414,4724789,25,0.151106815375149,0.11353184237433672,1.3309641789914783
PIK3CA_E545K,AKT (PI3K),6,555437,3694340,542855,4748865,30,0.15034810006658836,0.11431257784754884,1.3152367210815394
PIK3CA_E545K,AKT (PI3K),7,549375,3670320,548917,4772885,35,0.14968040933760543,0.11500738023229137,1.3014852528183987
PIK3CA_E545K,AKT (PI3K),8,542927,3646552,555365,4796653,40,0.14888777124253266,0.11578177533375877,1.2859344297782684
PIK3CA_E545K,AKT (PI3K),9,536470,3621863,561822,4821342,45,0.14811990403833608,0.11652813677187804,1.2711084905468268
PIK3CA_E545K,AKT (PI3K),10,530795,3598214,567497,4844991,50,0.14751624000128952,0.11713066133662581,1.2594160941116652
PIK3CA_E545K,AKT (PI3K),11,525195,3574104,573097,4869101,55,0.14694452092048804,0.11770078295767535,1.2484583129181783
PIK3CA_E545K,AKT (PI3K),12,519734,3550603,578558,4892602,60,0.14637907983517165,0.11825159700298532,1.2378613358724977
PIK3CA_E545K,AKT (PI3K),13,514331,3527177,583961,4916028,65,0.14581944711025277,0.11878715906418759,1.2275691098181587
PIK3CA_E545K,AKT (PI3K),14,509213,3504630,589079,4938575,70,0.14529722110465298,0.11928116916316954,1.2181069495210517
PIK3CA_E545K,AKT (PI3K),15,504014,3482198,594278,4961007,75,0.144740189960479,0.1197897926771722,1.2082848356749971
PIK3CA_E545K,AKT (PI3K),16,498746,3460768,599546,4982437,80,0.14411425440827008,0.12033187775379799,1.1976398698201272
PIK3CA_E545K,AKT (PI3K),17,494354,3438757,603938,5004448,85,0.14375950379744773,0.12068024285595534,1.191243076706764
PIK3CA_E545K,AKT (PI3K),18,489520,3417441,608772,5025764,90,0.14324168288494227,0.1211302400988188,1.1825427140909224
PIK3CA_E545K,AKT (PI3K),19,485010,3396352,613282,5046853,95,0.14280321945428506,0.12151770618244677,1.1751638830301834
PIK3CA_E545K,AKT (PI3K),20,479984,3375840,618308,5067365,100,0.14218209393810133,0.12201765611910727,1.1652583606368458
PIK3CA_E545K,AKT (PI3K),21,475547,3355131,622745,5088074,105,0.14173723768162852,0.1223930705410338,1.1580495289078425
PIK3CA_E545K,AKT (PI3K),22,470966,3334456,627326,5108749,110,0.14124222961706498,0.12279444537204705,1.1502330515775707
PIK3CA_E545K,AKT (PI3K),23,467280,3313605,631012,5129600,115,0.14101861869474486,0.12301388022457892,1.146363470831875
PIK3CA_E545K,AKT (PI3K),24,463622,3293405,634670,5149800,120,0.14077284755443076,0.12324167928851607,1.142250319592556
PIK3CA_E545K,AKT (PI3K),25,459447,3273028,638845,5170177,125,0.14037368455143065,0.12356346794316712,1.1360451991845628
PIK3CA_E545K,AKT (PI3K),26,454547,3253713,643745,5189492,130,0.1397010123511201,0.12404778733640981,1.1261870554148596
PIK3CA_E545K,AKT (PI3K),27,450716,3234067,647576,5209138,135,0.13936507808898208,0.12431538577016005,1.1210605768995205
PIK3CA_E545K,AKT (PI3K),28,447324,3214778,650968,5228427,140,0.13914615565989316,0.12450551571246954,1.117590291993444
PIK3CA_E545K,AKT (PI3K),29,443503,3195321,654789,5247884,145,0.13879763566790315,0.12477200334458612,1.112410091585867
PIK3CA_E545K,AKT (PI3K),30,439938,3176341,658354,5266864,150,0.13850465047675928,0.12499924053478502,1.1080439359806826
PIK3CA_E545K,ERK (MAPK),0,489917,3356745,433908,5086460,0,0.14595002003428917,0.0853064803419274,1.7108901861768173
PIK3CA_E545K,ERK (MAPK),1,462647,3334462,461178,5108743,5,0.13874712022509178,0.0902723037741378,1.5369843731056034
PIK3CA_E545K,ERK (MAPK),2,439013,3312077,484812,5131128,10,0.13254915269180034,0.09448448762143528,1.402866820031625
PIK3CA_E545K,ERK (MAPK),3,419767,3289989,504058,5153216,15,0.12758918038935693,0.09781425812541139,1.3044026794720456
PIK3CA_E545K,ERK (MAPK),4,405084,3268456,518741,5174749,20,0.1239374187689845,0.10024466887186219,1.2363492259863473
PIK3CA_E545K,ERK (MAPK),5,393322,3246642,530503,5196563,25,0.12114732699201206,0.10208728346024093,1.1867034060044734
PIK3CA_E545K,ERK (MAPK),6,385093,3225244,538732,5217961,30,0.11939964852271642,0.10324569309736122,1.1564613006193096
