mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
AKT1_E17K,1,5,ERKKTR_ratio,ERKKTR_ratio,0.022628,0.1552724503836169,0.0963895270360868,0.05888292334753,1.6108850739093796,448311,3863383
AKT1_E17K,1,5,FoxO3A_ratio,FoxO3A_ratio,0.04655,0.1525099463902934,0.1186896491245164,0.033820297265777,1.2849473186182931,448311,3863383
AKT1_E17K,1,6,ERKKTR_ratio,ERKKTR_ratio,0.021569,0.1668416197474313,0.0837475284343425,0.0830940913130888,1.9921975354560348,440567,3882605
AKT1_E17K,1,6,FoxO3A_ratio,FoxO3A_ratio,0.0445599999999999,0.1581208665521505,0.1122291629834796,0.0458917035686708,1.4089106819359083,440567,3882605
AKT1_E17K,1,7,ERKKTR_ratio,ERKKTR_ratio,0.0233687,0.1716583244440797,0.0733681812089532,0.0982901432351265,2.339683519688124,382261,2803597
AKT1_E17K,1,7,FoxO3A_ratio,FoxO3A_ratio,0.0422405,0.1620447765205472,0.1123347568619856,0.0497100196585615,1.4425168224615932,382261,2803597
AKT1_E17K,1,8,ERKKTR_ratio,ERKKTR_ratio,0.024454,0.1635904912574577,0.0784573219149426,0.0851331693425151,2.0850889026623913,427664,3530879
AKT1_E17K,1,8,FoxO3A_ratio,FoxO3A_ratio,0.04449,0.1576687583020631,0.1133014822981746,0.0443672760038884,1.3915860155044348,427664,3530879
AKT1_E17K,2,7,ERKKTR_ratio,ERKKTR_ratio,0.0166562999999999,0.1579934535252247,0.1055939038570969,0.0523995496681277,1.496236503757277,394565,3036790
AKT1_E17K,2,7,FoxO3A_ratio,FoxO3A_ratio,0.0386200000000001,0.1534656457787628,0.1211762605524241,0.0322893852263386,1.2664662622789007,394565,3036790
AKT1_E17K,2,8,ERKKTR_ratio,ERKKTR_ratio,0.016472,0.1473904974325257,0.1210476063593569,0.0263428910731688,1.2176242212916135,300301,1691155
