mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
PIK3CA_E545K,2,12,FoxO3A_ratio,FoxO3A_ratio,0.0401930000000003,0.154319606087735,0.11416299011170018,0.04015661597603483,1.3517481097573258,340721,2177654
PIK3CA_E545K,3,9,ERKKTR_ratio,ERKKTR_ratio,0.05024720000000003,0.13582666558905143,0.08556357939428773,0.050263086194763704,1.5874355251449344,364222,2499917
PIK3CA_E545K,3,9,FoxO3A_ratio,FoxO3A_ratio,0.04351000000000016,0.1536965322490875,0.11002661017387036,0.04366992207521714,1.396903276454736,364222,2499917
PIK3CA_E545K,3,10,ERKKTR_ratio,ERKKTR_ratio,0.05052000000000012,0.13901014198782963,0.08126157198200266,0.05774857000582696,1.7106504168860623,327947,2049681
PIK3CA_E545K,3,10,FoxO3A_ratio,FoxO3A_ratio,0.04123999999999994,0.15727341161241304,0.10965738458392087,0.04761602702849217,1.4342254487389456,327947,2049681
PIK3CA_E545K,3,11,ERKKTR_ratio,ERKKTR_ratio,0.054219700000000114,0.13360183621324326,0.08623823143844596,0.0473636047747973,1.5492181829888743,316839,1881666
PIK3CA_E545K,3,11,FoxO3A_ratio,FoxO3A_ratio,0.039879999999999916,0.1507995005941726,0.11173530707359651,0.03906419352057609,1.3496136945759298,316839,1881666
PIK3CA_E545K,3,12,ERKKTR_ratio,ERKKTR_ratio,0.05072999999999994,0.13619154224760902,0.08356555578024276,0.052625986467366256,1.6297569133119858,324249,1999427
PIK3CA_E545K,3,12,FoxO3A_ratio,FoxO3A_ratio,0.03885000000000005,0.15270645975772362,0.10927515511342242,0.0434313046443012,1.3974490322088453,324249,1999427
PIK3CA_E545K,4,9,ERKKTR_ratio,ERKKTR_ratio,0.055869999999999864,0.13729131036729375,0.09133939685981608,0.04595191350747767,1.5030897409800368,322014,1949455
PIK3CA_E545K,4,9,FoxO3A_ratio,FoxO3A_ratio,0.04616999999999982,0.1523180727781361,0.1129362668651818,0.039381805912954315,1.3487082316964358,322014,1949455
PIK3CA_E545K,4,10,ERKKTR_ratio,ERKKTR_ratio,0.051231999999999916,0.1354443129268705,0.08758213984835721,0.0478621730785133,1.5464832574470497,343744,2229930
PIK3CA_E545K,4,10,FoxO3A_ratio,FoxO3A_ratio,0.045030000000000125,0.15178016601364477,0.10686087024860504,0.04491929576503974,1.4203530783582228,343744,2229930
PIK3CA_E545K,4,11,ERKKTR_ratio,ERKKTR_ratio,0.052240000000000064,0.1360338528892826,0.08951535531888088,0.04651849757040172,1.5196705906454675,342969,2219533
PIK3CA_E545K,4,11,FoxO3A_ratio,FoxO3A_ratio,0.042300000000000004,0.14979823282035853,0.1154995527963382,0.03429868002402034,1.2969594184013824,342969,2219533
PIK3CA_E545K,4,12,ERKKTR_ratio,ERKKTR_ratio,0.05428369999999999,0.14610276750300816,0.08461952150468549,0.061483245998322666,1.726584656885802,322312,1950538
PIK3CA_E545K,4,12,FoxO3A_ratio,FoxO3A_ratio,0.03940700000000011,0.1571088920589634,0.10969900386279274,0.047409888196170646,1.4321815743693451,322312,1950538
PIK3CA_E545K,5,9,ERKKTR_ratio,ERKKTR_ratio,0.05000740000000003,0.1476357549454874,0.08833224341186659,0.059303511533620804,1.671368791768442,406733,3177843
PIK3CA_E545K,5,9,FoxO3A_ratio,FoxO3A_ratio,0.04952000000000001,0.15770763071218666,0.10467779188999661,0.05302983882219005,1.5066006634713678,406733,3177843
PIK3CA_E545K,5,10,ERKKTR_ratio,ERKKTR_ratio,0.04363300000000003,0.1564987761042627,0.08732428199880814,0.06917449410545455,1.7921564600599715,397857,3045650
PIK3CA_E545K,5,10,FoxO3A_ratio,FoxO3A_ratio,0.05147999999999997,0.16008324429974025,0.1067246938103271,0.05335855048941314,1.4999644279536921,397857,3045650
PIK3CA_E545K,5,11,ERKKTR_ratio,ERKKTR_ratio,0.058942800000000045,0.152836629259764,0.08389747150378984,0.06893915775597415,1.8217072162044836,452890,4080369
PIK3CA_E545K,5,11,FoxO3A_ratio,FoxO3A_ratio,0.058788999999999855,0.16855130674466534,0.08574767763807792,0.08280362910658742,1.965666142657336,452890,4080369
PIK3CA_E545K,5,12,ERKKTR_ratio,ERKKTR_ratio,0.04783920000000005,0.15693893410773446,0.08126807295914584,0.07567086114858862,1.931126559216299,362486,2528251
PIK3CA_E545K,5,12,FoxO3A_ratio,FoxO3A_ratio,0.04688979999999987,0.16238246009456858,0.10063303162077658,0.061749428473792,1.613609939790816,362486,2528251
PIK3CA_E545K,6,9,ERKKTR_ratio,ERKKTR_ratio,0.05310199999999998,0.14803429512161365,0.08901354974537995,0.059020745376233696,1.6630534962942205,359571,2472873
PIK3CA_E545K,6,9,FoxO3A_ratio,FoxO3A_ratio,0.04824999999999997,0.15348963029756538,0.11400934681012934,0.03948028348743604,1.3462898840494748,359571,2472873
PIK3CA_E545K,6,10,ERKKTR_ratio,ERKKTR_ratio,0.05140139999999999,0.15465957306483172,0.08726926437344847,0.06739030869138325,1.7722112610346084,352780,2397174
PIK3CA_E545K,6,10,FoxO3A_ratio,FoxO3A_ratio,0.04711999999999996,0.16168494373326509,0.10822544544326214,0.053459498290002946,1.4939642250586016,352780,2397174
PIK3CA_E545K,6,11,ERKKTR_ratio,ERKKTR_ratio,0.05372460000000002,0.14566480085972164,0.08816125372287618,0.057503547136845454,1.6522541900050631,377309,2767397
PIK3CA_E545K,6,11,FoxO3A_ratio,FoxO3A_ratio,0.04741919999999987,0.1562741468349927,0.10791206564684429,0.0483620811881484,1.4481619446190508,377309,2767397
PIK3CA_E545K,6,12,ERKKTR_ratio,ERKKTR_ratio,0.05157450000000008,0.1486972974783162,0.08184460644089693,0.06685269103741927,1.816824638110956,336184,2170408
PIK3CA_E545K,6,12,FoxO3A_ratio,FoxO3A_ratio,0.04149349999999993,0.15714710895857573,0.10883577208146622,0.048311336877109506,1.443892076595435,336184,2170408
PIK3CA_H1047R,1,13,ERKKTR_ratio,ERKKTR_ratio,0.11529549999999998,0.19490997538041704,0.06854654312388751,0.12636343225652952,2.843469072220706,175850,551401
PIK3CA_H1047R,1,13,FoxO3A_ratio,FoxO3A_ratio,0.08428000000000013,0.18906297077432963,0.08689770772375056,0.10216526305057906,2.175695720022493,175850,551401
PIK3CA_H1047R,1,14,ERKKTR_ratio,ERKKTR_ratio,0.08835309999999993,0.16724278385697616,0.07976291396250539,0.08747986989447078,2.0967486711379797,189333,683817
PIK3CA_H1047R,1,14,FoxO3A_ratio,FoxO3A_ratio,0.07279100000000018,0.17184133579562944,0.09831888109851546,0.07352245469711398,1.7477958849373452,189333,683817
PIK3CA_H1047R,1,15,ERKKTR_ratio,ERKKTR_ratio,0.11957199999999994,0.1766989552210402,0.07148058178169113,0.10521837343934907,2.471985409417855,215976,862525
PIK3CA_H1047R,1,15,FoxO3A_ratio,FoxO3A_ratio,0.09001000000000015,0.1815449049211335,0.08330462739694569,0.09824027752418782,2.179289561623917,215976,862525
PIK3CA_H1047R,1,16,ERKKTR_ratio,ERKKTR_ratio,0.1108510000000001,0.19865494050698396,0.06824299172465137,0.1304119487823326,2.9109940154517577,170620,514753
PIK3CA_H1047R,1,16,FoxO3A_ratio,FoxO3A_ratio,0.07850950000000001,0.20430610168559407,0.08129427275368148,0.12301182893191259,2.5131672227960475,170620,514753
PIK3CA_H1047R,2,13,ERKKTR_ratio,ERKKTR_ratio,0.07888540000000006,0.169452609973735,0.07766693935360984,0.09178567062012517,2.1817856012354775,221293,899122
PIK3CA_H1047R,2,13,FoxO3A_ratio,FoxO3A_ratio,0.0633999999999999,0.17180995683630051,0.0971240524482688,0.07468590438803172,1.7689743426615325,221293,899122
PIK3CA_H1047R,2,14,ERKKTR_ratio,ERKKTR_ratio,0.12404349999999997,0.18550943004104536,0.07051081582817106,0.1149986142128743,2.630935805552389,188783,655592
PIK3CA_H1047R,2,14,FoxO3A_ratio,FoxO3A_ratio,0.09803000000000006,0.19691173401961468,0.07580397110921923,0.12110776291039545,2.597644043422237,188783,655592
PIK3CA_H1047R,2,15,ERKKTR_ratio,ERKKTR_ratio,0.1084660000000001,0.1869649990488872,0.07154726425058698,0.11541773479830021,2.6131676872236707,190699,669697
PIK3CA_H1047R,2,15,FoxO3A_ratio,FoxO3A_ratio,0.083364,0.18271392256139835,0.08651991614255765,0.0961940064188407,2.111813449522341,190699,669697
