mutation,biosensor_A,biosensor_B,statistic,p_raw,mean_RR_ERKKTR,mean_RR_FoxO,std_RR_ERKKTR,std_RR_FoxO,significant
AKT1_E17K,ERKKTR_ratio,FoxO3A_ratio,385.0,3.6986365472633807e-05,1.5814211386202826,1.272374131594209,0.32963451698984214,0.08033027374601023,True
PTEN_del,ERKKTR_ratio,FoxO3A_ratio,628.0,5.367299001853142e-06,1.5566327650128644,1.4011916744761364,0.11236111916486238,0.12741881519578663,True
WT,ERKKTR_ratio,FoxO3A_ratio,576.0,3.06366423367317e-09,1.7423490027824606,1.3734037110178623,0.08422584284723093,0.09342933391667711,True
PIK3CA_E545K,ERKKTR_ratio,FoxO3A_ratio,523.0,1.329392979098482e-06,1.7071095805294856,1.4633072325009877,0.15620162907875818,0.15996296957918668,True
PIK3CA_H1047R,ERKKTR_ratio,FoxO3A_ratio,424.0,0.005206645006082294,3.200310079544145,2.624010742922026,0.6400170353199155,0.6360560038849264,True
