comparison_group,mean_relative_risk,std_relative_risk,p_raw,significant
PIK3CA_H1047R,3.200310079544145,0.6400170353199156,3.06366423367317e-09,True
WT,1.7423490027824606,0.08422584284723095,,
PIK3CA_E545K,1.7071095805294858,0.1562016290787582,0.18352895180974704,False
AKT1_E17K,1.581421138620283,0.3296345169898422,0.003461466561763674,True
PTEN_del,1.5566327650128646,0.11236111916486248,3.660584272409116e-07,True
