future_window_frames,future_window_min,RR,theta,p_exposed,p_unexposed,risk_difference,n_spatial_edges,n_nodes
1,5,1.921319058191328,0.036542799999999986,0.06450688855544946,0.03357427194636497,0.030932616609084494,2389504,356632
3,15,1.7558496926130764,0.036542799999999986,0.13145546310189607,0.07486715044854579,0.05658831265335028,2389504,356632
6,30,1.5862930772931993,0.036542799999999986,0.20360796617105442,0.12835457021503532,0.0752533959560191,2389504,356632
12,60,1.3840168683678367,0.036542799999999986,0.3058041194925658,0.2209540407214826,0.08485007877108322,2389504,356632
