mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
AKT1_E17K,1,5,ERKKTR_ratio,ERKKTR_ratio,0.022628000000000082,0.15527245038361692,0.09638952703608686,0.058882923347530064,1.6108850739093796,448311,3863383
AKT1_E17K,1,5,FoxO3A_ratio,FoxO3A_ratio,0.04655000000000009,0.15250994639029347,0.11868964912451646,0.03382029726577701,1.2849473186182931,448311,3863383
AKT1_E17K,1,6,ERKKTR_ratio,ERKKTR_ratio,0.02156900000000004,0.16684161974743136,0.08374752843434252,0.08309409131308884,1.9921975354560348,440567,3882605
AKT1_E17K,1,6,FoxO3A_ratio,FoxO3A_ratio,0.04455999999999993,0.15812086655215055,0.11222916298347968,0.045891703568670866,1.4089106819359083,440567,3882605
AKT1_E17K,1,7,ERKKTR_ratio,ERKKTR_ratio,0.02336870000000001,0.17165832444407975,0.07336818120895322,0.09829014323512653,2.339683519688124,382261,2803597
AKT1_E17K,1,7,FoxO3A_ratio,FoxO3A_ratio,0.042240500000000014,0.16204477652054722,0.11233475686198567,0.04971001965856155,1.4425168224615932,382261,2803597
AKT1_E17K,1,8,ERKKTR_ratio,ERKKTR_ratio,0.024454000000000087,0.16359049125745778,0.07845732191494266,0.08513316934251512,2.0850889026623913,427664,3530879
AKT1_E17K,1,8,FoxO3A_ratio,FoxO3A_ratio,0.04449000000000007,0.15766875830206317,0.11330148229817469,0.044367276003888484,1.3915860155044348,427664,3530879
AKT1_E17K,2,7,ERKKTR_ratio,ERKKTR_ratio,0.016656299999999995,0.1579934535252247,0.10559390385709691,0.05239954966812779,1.4962365037572767,394565,3036790
AKT1_E17K,2,7,FoxO3A_ratio,FoxO3A_ratio,0.0386200000000001,0.15346564577876284,0.12117626055242418,0.03228938522633866,1.2664662622789007,394565,3036790
AKT1_E17K,2,8,ERKKTR_ratio,ERKKTR_ratio,0.016472000000000042,0.14739049743252577,0.12104760635935696,0.02634289107316881,1.2176242212916135,300301,1691155
AKT1_E17K,2,8,FoxO3A_ratio,FoxO3A_ratio,0.039758999999999774,0.1475804739429374,0.12956100742806695,0.018019466514870464,1.1390809385676859,300301,1691155
AKT1_E17K,3,5,ERKKTR_ratio,ERKKTR_ratio,0.01956199999999997,0.15285545976155943,0.09353324154465577,0.05932221821690366,1.6342367401923232,465350,4160606
AKT1_E17K,3,5,FoxO3A_ratio,FoxO3A_ratio,0.041789999999999994,0.15010415295383972,0.12351986710193359,0.026584285851906128,1.2152227530326576,465350,4160606
AKT1_E17K,3,6,ERKKTR_ratio,ERKKTR_ratio,0.020562999999999998,0.14470002702066645,0.10107262062931398,0.04362740639135247,1.4316441596122942,445467,3845735
AKT1_E17K,3,6,FoxO3A_ratio,FoxO3A_ratio,0.04251999999999989,0.1487422829370813,0.12644475380354817,0.02229752913353314,1.1763420661024486,445467,3845735
AKT1_E17K,3,7,ERKKTR_ratio,ERKKTR_ratio,0.018207800000000034,0.148992734358588,0.10413652850284084,0.044856205855747164,1.4307442018726741,328835,2067914
AKT1_E17K,3,7,FoxO3A_ratio,FoxO3A_ratio,0.04227000000000003,0.1541398479645205,0.12347770951308569,0.030662138451434798,1.2483212441528593,328835,2067914
AKT1_E17K,3,8,ERKKTR_ratio,ERKKTR_ratio,0.018011,0.14608949169730004,0.10706142040544339,0.03902807129185665,1.3645390762055714,334088,2114751
AKT1_E17K,3,8,FoxO3A_ratio,FoxO3A_ratio,0.04149000000000003,0.1530628597374501,0.12589650944522204,0.027166350292228053,1.2157831890013457,334088,2114751
AKT1_E17K,4,5,ERKKTR_ratio,ERKKTR_ratio,0.01957699999999999,0.1473425372468552,0.11204975069307828,0.03529278655377692,1.314974253271204,378095,2725492
